,STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,ADDRES_M,CITY_M,ZIP_M,ZIP4_M,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,EC_LO_OT,EC_ST,ELECCOLL,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,PHYSCIR,ELINFO,ELCONT,TOTCOLL,LOANTO,LOANFM,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,GPTERMS,PITUSR,WIFISESS,WEBVISIT,YR_SUB,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE_ADD,LOCALE_MOD,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOMATCH,GEO_ID,Total,White,Black,AIAN,Asian,Hawaiian,Other,Two,White_pct,Black_pct,AIAN_pct,Asian_pct,Hawaiian_pct,Other_pct,Two_pct,Poverty,White_pov,Black_pov,Median_Income,NAME,STATE_POVERTY_RANKING,STATE_INCOME_RANKING,TOTATTEN_RANKING,SALARIES_RANKING,HRS_OPEN_RANKING,BKVOL_RANKING,PITUSR_RANKING
371,IL,IL0190,30288,FOX LAKE PUBLIC LIBRARY DISTRICT,255 EAST GRAND AVENUE,FOX LAKE,60020,1668,255 EAST GRAND AVENUE,FOX LAKE,60020,1668,LAKE,8475870198,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,25284,25284,1,0,0,6.56,14.51,9.05,23.56,2400875,52725,0,124109,2577709,878570,291367,1169937,244099,210444,85702,540245,1593990,3304172,0,0,0,0,0,112757,99892,55823,9375,37830,11626,868,20,13,33,241,3572,128926,23905,7569,168743,50249,33234,135509,18281,51515,187024,1667,2671,831,419,108,12051,7344,1416,34,19808,32764,340256,2019,3,1,0,0,0,-88.1614,42.39398,17,97,27442,696535,21,21,8609.03,1022,1710,16980,0,A,1400000US17097860903,6270,4977,143,36,92,4,338,680,0.7937799043062201,0.02280701754385965,0.005741626794258373,0.01467304625199362,0.0006379585326953748,0.05390749601275917,0.10845295055821372,6.4,7.1,0.0,57315.0,FOX LAKE PUBLIC LIBRARY DISTRICT,92.0,132.0,94,106,129,126,109
372,IL,IL0191,30289,FOX RIVER GROVE PUBLIC LIBRARY DISTRICT,407 LINCOLN AVENUE,FOX RIVER GROVE,60021,1406,407 LINCOLN AVENUE,FOX RIVER GROVE,60021,1406,MCHENRY,8476392274,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,4854,4854,1,0,0,0.94,2.68,3.33,6.01,499846,12747,0,5097,517690,224909,53396,278305,30062,3200,10078,43340,463648,785293,0,0,0,0,0,311675,24188,77904,2636,36590,4517,137,2,13,15,35,2428,26475,2801,2216,50087,15270,5547,44540,0,5547,50087,160,514,314,85,14,3635,2189,208,8,1987,61,40195,2019,3,1,0,0,0,-88.2206,42.19774,17,111,27533,307774,21,21,8714.02,2013,1706,16980,0,A,1400000US17111871402,6099,5205,49,9,191,0,164,481,0.853418593212002,0.008034103951467454,0.0014756517461878996,0.03131660928020987,0.0,0.02688965404164617,0.07886538776848663,3.5,3.6,,111827.0,FOX RIVER GROVE PUBLIC LIBRARY DISTRICT,139.0,15.0,45,49,31,33,31
373,IL,IL0192,30290,FRANKFORT PUBLIC LIBRARY DISTRICT,21119 SOUTH PFEIFFER ROAD,FRANKFORT,60423,8699,21119 SOUTH PFEIFFER ROAD,FRANKFORT,60423,8699,WILL,8154692423,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,30484,30484,1,0,0,10.0,12.5,12.04,24.54,2300899,76995,0,101558,2479452,1216611,323158,1539769,99164,38439,18613,156216,706191,2402176,0,0,0,0,0,0,93031,85392,7100,33208,10131,1235,13,13,26,74,3468,161079,24588,12896,350736,130891,41619,309117,949211,990830,1299947,16243,33188,648,344,61,24406,18565,1971,41,14682,6665,266436,2019,3,1,0,0,0,-87.829,41.50574,17,197,27624,690743,21,21,8835.05,2030,1701,16980,0,A,1400000US17197883505,8769,6511,1115,21,309,4,189,620,0.7425019956665526,0.12715246892462082,0.0023947998631542937,0.035237769414984604,0.0004561523548865321,0.021553198768388643,0.07070361500741247,0.3,0.0,0.0,126612.0,FRANKFORT PUBLIC LIBRARY DISTRICT,161.0,7.0,130,123,112,119,91
374,IL,IL0194,30292,FRANKLIN PARK PUBLIC LIBRARY DISTRICT,10311 GRAND AVENUE,FRANKLIN PARK,60131,2225,10311 GRAND AVENUE,FRANKLIN PARK,60131,2225,COOK,8474556016,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,18333,18333,1,0,0,6.56,11.78,11.86,23.64,1748576,183173,12000,81334,2025083,833405,268740,1102145,102602,24661,28674,155937,205689,1463771,0,0,0,0,0,95588,99824,53136,9281,14878,13411,15874,18,13,31,135,3461,196262,7490,2575,99211,24515,7659,91552,1296,8955,100507,20952,7827,412,257,51,5516,3847,290,35,30494,23697,47095,2019,3,1,0,0,0,-87.8826,41.93021,17,31,27702,5150233,21,21,8114.02,2009,1705,16980,0,A,1400000US17031811402,4572,2087,88,80,226,3,1248,840,0.45647419072615925,0.019247594050743656,0.017497812773403325,0.049431321084864394,0.0006561679790026247,0.27296587926509186,0.1837270341207349,5.6,2.6,0.0,59196.0,FRANKLIN PARK PUBLIC LIBRARY DISTRICT,106.0,125.0,55,102,110,125,130
375,IL,IL0196,30294,FREMONT PUBLIC LIBRARY DISTRICT,1170 NORTH MIDLOTHIAN ROAD,MUNDELEIN,60060,1237,1170 NORTH MIDLOTHIAN ROAD,MUNDELEIN,60060,1237,LAKE,8475668702,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,37499,37499,1,0,0,17.98,17.98,22.25,40.23,4213412,55053,0,198447,4466912,1964683,501784,2466467,175441,177109,103710,456260,1354470,4277197,0,0,0,0,0,193385,100807,11508,9960,11061,20740,2235,30,13,43,170,3508,240261,17781,19426,724000,288185,48647,675353,336043,384690,1060043,28102,42277,1051,583,71,26558,16456,775,49,30406,32118,280921,2019,3,2,0,0,0,-88.0189,42.28195,17,97,51349,696535,21,21,8641.05,2000,1710,16980,0,A,1400000US17097864105,6006,4522,62,13,707,2,209,491,0.752913752913753,0.010323010323010324,0.0021645021645021645,0.11771561771561771,0.000333000333000333,0.0347985347985348,0.08175158175158175,1.2,1.6,0.0,114497.0,FREMONT PUBLIC LIBRARY DISTRICT,158.0,10.0,136,137,122,129,129
376,IL,IL0211,30308,GLENSIDE PUBLIC LIBRARY DISTRICT,25 EAST FULLERTON AVENUE,GLENDALE HEIGHTS,60139,2688,25 EAST FULLERTON AVENUE,GLENDALE HEIGHTS,60139,2688,DUPAGE,6302601550,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,36259,36259,1,0,0,14.52,17.12,15.92,33.04,3899978,51825,0,93103,4044906,1681491,478632,2160123,139783,88308,63000,291091,1063537,3514751,0,0,0,0,0,88057,93377,73695,5996,28198,10219,241,23,13,36,169,3536,264276,12511,11989,266147,125905,22631,243516,12795,35426,278942,1260,2074,1558,1025,161,27794,22569,2037,60,66157,31056,62283,2019,3,2,0,0,0,-88.0894,41.91721,17,43,29730,922921,21,21,8412.08,3000,1708,16980,0,A,1400000US17043841208,5048,2363,291,58,1000,9,678,649,0.46810618066561016,0.05764659270998415,0.011489698890649762,0.19809825673534073,0.0017828843106180666,0.13431061806656103,0.12856576862123614,9.1,6.7,13.4,80570.0,GLENSIDE PUBLIC LIBRARY DISTRICT,51.0,67.0,138,130,125,120,152
377,IL,IL0213,30310,GLENWOOD-LYNWOOD PUBLIC LIBRARY DISTRICT,19901 STONY ISLAND AVENUE,LYNWOOD,60411,8659,19901 STONY ISLAND AVENUE,LYNWOOD,60411,8659,COOK,7087580090,ME,LD,MO,Y,OTH,N,07/01/2018,06/30/2019,17976,17976,1,0,1,0.88,1.75,13.25,15.0,1354447,40944,0,46053,1441444,689667,141760,831427,40876,13929,3354,58159,511060,1400646,0,0,0,0,0,0,63884,8500,2506,3500,3039,100,18,13,31,46,4760,83008,3459,6920,58916,15960,1188,57728,3014,4202,61930,5640,7932,550,143,20,6946,2347,124,44,19784,4623,13032,2019,3,1,0,0,0,-87.5779,41.53399,17,31,45421,5150233,21,21,8285.05,5044,1702,16980,0,A,1400000US17031828505,6682,2086,3142,41,61,2,841,509,0.31218198144268183,0.47021849745585154,0.006135887458844657,0.009129003292427417,0.000299311583358276,0.12586052080215504,0.07617479796468124,14.6,8.5,15.2,58214.0,GLENWOOD LYNWOOD PUBLIC LIBRARY DISTRICT,23.0,130.0,72,89,151,90,108
378,IL,IL0216,30316,GRANDE PRAIRIE PUBLIC LIBRARY DISTRICT,3479 WEST 183RD STREET,HAZEL CREST,60429,2419,3479 WEST 183RD STREET,HAZEL CREST,60429,2419,COOK,7087985563,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,30641,30641,1,0,0,3.75,7.5,14.5,22.0,1436915,47164,20950,21844,1526873,687078,193187,880265,43164,31338,36271,110773,147054,1138092,0,0,0,0,0,0,57370,5758,5328,1134,6887,659,15,13,28,125,3841,163800,25984,11240,58132,14868,5354,52778,1017,6371,59149,11222,9582,143,86,29,5522,2496,594,31,30000,6200,3094,2019,3,1,0,0,0,-87.702,41.55709,17,31,33695,5150233,21,21,8299.02,2001,1702,16980,0,A,1400000US17031829902,6457,588,5432,5,62,4,103,263,0.09106396159207063,0.8412575499457953,0.0007743534148985597,0.00960198234474214,0.0006194827319188478,0.01595168034691033,0.04073098962366424,25.8,18.6,28.6,76409.0,GRANDE PRAIRIE PUBLIC LIBRARY DISTRICT,4.0,80.0,56,88,147,83,127
379,IL,IL0219,30321,GRAYSLAKE AREA PUBLIC LIBRARY DISTRICT,100 LIBRARY LANE,GRAYSLAKE,60030,1684,100 LIBRARY LANE,GRAYSLAKE,60030,1684,LAKE,8472235313,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,28172,28172,1,0,0,9.5,9.5,24.23,33.73,2959869,43254,0,177876,3180999,1555007,343807,1898814,166063,182355,97976,446394,443242,2788450,0,0,0,68179,68179,178273,121377,105295,15952,27696,21789,192,44,13,57,266,3210,161641,23873,14978,456282,202358,39815,416467,63891,103706,520173,3809,3203,897,622,101,18977,14542,771,52,11800,32538,285220,2019,3,2,0,0,0,-88.0346,42.34557,17,97,31121,696535,21,21,8611.08,2014,1710,16980,0,A,1400000US17097861108,5948,4576,181,24,282,2,310,573,0.769334229993275,0.03043039677202421,0.004034969737726967,0.04741089441829186,0.0003362474781439139,0.05211835911230666,0.09633490248823134,6.2,5.5,8.5,105605.0,GRAYSLAKE AREA PUBLIC LIBRARY DISTRICT,95.0,24.0,118,127,81,136,78
380,IL,IL0221,30324,GREEN HILLS PUBLIC LIBRARY DISTRICT,8611 WEST 103RD STREET,PALOS HILLS,60465,1601,10331 SOUTH INTERLOCHEN DRIVE,PALOS HILLS,60465,1773,COOK,7085988446,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,31533,31533,1,0,0,3.81,11.38,3.66,15.04,2611817,57380,0,53462,2722659,816534,409599,1226133,137529,122037,46149,305715,585478,2117326,0,0,0,0,0,265557,54458,397413,5259,324488,8116,15140,12,13,25,139,3567,144471,9378,9055,255269,117117,24853,230416,11436,36289,266705,64,784,403,251,47,13188,8887,1064,25,21045,565632,86315,2019,3,1,0,0,0,-87.8283,41.70373,17,31,57394,5150233,21,21,8238.03,2003,1703,16980,0,A,1400000US17031823803,7146,6079,154,15,151,1,264,482,0.8506856982927512,0.02155051777218024,0.0020990764063811922,0.021130702490904003,0.0001399384270920795,0.036943744752308987,0.06745032185838232,8.2,8.0,,70909.0,GREEN HILLS PUBLIC LIBRARY DISTRICT,57.0,93.0,99,99,128,78,113
381,IL,IL0225,30329,GRIDLEY PUBLIC LIBRARY DISTRICT,320 CENTER STREET,GRIDLEY,61744,9900,320 CENTER STREET,GRIDLEY,61744,9900,MCLEAN,3097472284,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,2113,2113,1,0,0,0.0,0.8,1.05,1.85,128069,9485,0,6702,144256,-9,-9,-9,12224,3650,3372,19246,-9,134982,0,0,0,0,0,4741,20214,44684,360,14335,1445,2,1,13,14,52,2008,16421,721,1287,36742,16393,1919,34823,121,2040,36863,1554,2066,90,51,1,1522,915,14,7,3671,10672,3677,2019,3,1,0,0,0,-88.8811,40.74256,17,113,31732,171517,42,42,51.02,3047,1718,14010,0,A,1400000US17113005102,7385,6765,101,12,142,1,45,319,0.9160460392687881,0.013676371022342586,0.0016249153689911983,0.01922816519972918,0.00013540961408259986,0.006093432633716994,0.043195666892349355,5.8,5.8,8.6,91354.0,GRIDLEY PUBLIC LIBRARY DISTRICT,103.0,38.0,30,7,18,26,40
382,IL,IL0531,30656,TOWANDA DISTRICT LIBRARY,301 SOUTH TAYLOR STREET,TOWANDA,61776,7582,301 SOUTH TAYLOR STREET,TOWANDA,61776,7582,MCLEAN,3097282176,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,2187,2187,1,0,0,0.63,1.38,1.95,3.33,166000,2733,0,5060,173793,80435,3750,84185,22189,1250,6250,29689,31250,145124,0,0,0,0,0,0,21676,44835,1329,13779,3120,2,2,13,15,41,1872,11700,1196,675,24499,13746,1520,22979,225,1745,24724,3075,2412,151,68,5,2908,1203,42,3,296,2920,-1,2019,3,1,0,0,0,-88.8947,40.56318,17,113,75822,171517,22,22,51.02,5077,1718,14010,0,A,1400000US17113005102,7385,6765,101,12,142,1,45,319,0.9160460392687881,0.013676371022342586,0.0016249153689911983,0.01922816519972918,0.00013540961408259986,0.006093432633716994,0.043195666892349355,5.8,5.8,8.6,91354.0,TOWANDA DISTRICT LIBRARY,104.0,39.0,38,26,14,28,2
383,IL,IL0639,30361,HUDSON AREA PUBLIC LIBRARY DISTRICT,104 PEARL STREET,HUDSON,61748,7736,104 PEARL STREET,HUDSON,61748,7736,MCLEAN,3097261103,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,3741,3741,1,0,0,0.0,2.0,1.39,3.39,264871,4676,0,6292,275839,121514,15920,137434,20294,2472,6006,28772,59342,225548,0,0,0,0,0,94074,18678,47569,1110,14423,2007,0,5,13,18,33,2704,17145,1126,1709,29286,13759,1695,27591,749,2444,30035,3175,3355,249,190,13,4904,4415,137,8,608,2986,-1,2019,3,2,0,0,0,-88.9905,40.60422,17,113,36438,171517,41,41,51.02,1027,1718,14010,0,A,1400000US17113005102,7385,6765,101,12,142,1,45,319,0.9160460392687881,0.013676371022342586,0.0016249153689911983,0.01922816519972918,0.00013540961408259986,0.006093432633716994,0.043195666892349355,5.8,5.8,8.6,91354.0,HUDSON AREA PUBLIC LIBRARY DISTRICT,105.0,40.0,52,32,40,19,10
384,IL,IL0231,30225,HARVARD DIGGINS LIBRARY,900 EAST MCKINLEY STREET,HARVARD,60033,1800,900 EAST MCKINLEY STREET,HARVARD,60033,1800,MCHENRY,8159434671,ME,CI,SO,Y,CI1,N,05/01/2018,04/30/2019,9447,9447,1,0,0,2.0,4.0,1.08,5.08,233927,24301,0,112884,371112,160603,82710,243313,19483,9766,7367,36616,65728,345657,0,0,0,0,0,0,42549,43097,2892,7182,3494,741,1,13,14,35,2999,44513,3500,1766,48682,20466,3699,44983,75,3774,48757,5090,6134,243,95,79,3098,1796,490,14,9000,8100,-1,2019,3,1,0,0,0,-88.6045,42.42573,17,111,33331,307774,32,32,8703.02,2013,1714,16980,0,A,1400000US17111870302,4550,2342,42,55,53,2,1265,791,0.5147252747252747,0.009230769230769232,0.012087912087912088,0.011648351648351648,0.00043956043956043956,0.27802197802197803,0.17384615384615384,18.2,18.6,0.0,50568.0,HARVARD DIGGINS LIBRARY,13.0,148.0,39,39,60,59,69
385,IL,IL0241,30414,LOUIS LATZER MEMORIAL PUBLIC LIBRARY,1001 NINTH STREET,HIGHLAND,62249,1612,1001 NINTH STREET,HIGHLAND,62249,1612,MADISON,6186545066,ME,CI,SO,Y,CI1,N,05/01/2018,04/30/2019,9919,9919,1,0,0,1.7,1.7,2.48,4.18,298334,23861,0,42264,364459,182031,12789,194820,24249,3815,5148,33212,109400,337432,0,0,0,0,0,26450,47521,36543,3297,6760,4620,0,15,13,28,70,2912,82442,18502,2196,59104,23338,4231,54873,13500,17731,72604,62798,59515,304,219,15,6413,4338,141,12,4849,9464,-1,2019,3,2,0,0,0,-89.6788,38.74146,17,119,34670,262966,31,31,4036.04,3010,1715,41180,0,A,1400000US17119403604,6247,5860,18,16,45,0,26,282,0.9380502641267808,0.002881383063870658,0.0025612293901072516,0.007203457659676645,0.0,0.004161997758924283,0.04514166800064031,11.1,8.3,100.0,59857.0,LOUIS LATZER MEMORIAL PUBLIC LIBRARY,36.0,123.0,69,41,55,66,45
386,IL,IL0242,30348,HIGHLAND PARK PUBLIC LIBRARY,494 LAUREL AVENUE,HIGHLAND PARK,60035,2623,494 LAUREL AVENUE,HIGHLAND PARK,60035,2623,LAKE,8474320216,ME,CI,SO,Y,CI1,N,01/01/2018,12/31/2018,29763,29763,1,0,0,18.99,23.99,25.75,49.74,4871378,100682,0,330401,5302461,2559311,765338,3324649,239883,256578,71180,567641,552726,4445016,0,0,0,0,0,826309,197135,33475,20494,12395,21753,0,48,13,61,291,3493,280106,64825,12438,611331,178159,61111,550220,2413,63524,613744,35854,30268,1697,699,0,28774,19358,0,59,16000,50000,-1,2019,3,2,0,0,0,-87.7968,42.18492,17,97,34722,696535,21,21,8655.02,2014,1710,16980,0,A,1400000US17097865502,2313,2097,20,8,40,0,34,114,0.9066147859922179,0.00864677907479464,0.0034587116299178555,0.01729355814958928,0.0,0.014699524427150886,0.04928664072632944,5.4,5.5,100.0,158403.0,HIGHLAND PARK PUBLIC LIBRARY,108.0,3.0,139,145,119,151,97
387,IL,IL0247,30353,HODGKINS PUBLIC LIBRARY DISTRICT,6500 WENZ AVENUE,HODGKINS,60525,7632,6500 WENZ AVENUE,HODGKINS,60525,7632,COOK,7085791844,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,1897,1897,1,0,0,2.0,3.0,3.43,6.43,538140,28820,0,24236,591196,233421,47279,280700,31197,5359,12769,49325,261171,591196,0,0,0,0,0,0,38533,92080,2039,26208,4605,1235,4,13,17,48,3224,29744,3300,1168,35599,7093,2518,33081,669,3187,36268,9784,3157,602,188,192,4664,1633,1196,23,1547,1322,-1,2019,3,2,0,0,0,-87.8557,41.77186,17,31,35385,5150233,21,21,8202.02,1207,1703,16980,0,A,1400000US17031820202,3128,2150,30,53,41,0,359,495,0.6873401534526854,0.00959079283887468,0.01694373401534527,0.013107416879795396,0.0,0.11476982097186701,0.15824808184143221,9.6,10.2,8.9,54194.0,HODGKINS PUBLIC LIBRARY DISTRICT,47.0,137.0,50,51,83,49,26
388,IL,IL0300,30446,MCCOOK PUBLIC LIBRARY DISTRICT,8419 WEST 50TH STREET,MCCOOK,60525,3187,8419 WEST 50TH STREET,MCCOOK,60525,3187,COOK,7084421242,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,228,228,1,0,0,0.0,0.0,4.0,4.0,577312,12990,0,13024,603326,147350,31441,178791,15649,250,7312,23211,105471,307473,0,0,0,0,0,0,20011,31444,3078,12008,4465,0,1,13,14,70,1530,3952,565,561,13781,1382,296,13485,0,296,13781,7621,1125,12,12,0,45,45,0,2,365,322,-1,2019,3,1,0,0,0,-87.8311,41.80033,17,31,45564,5150233,21,21,8202.02,1195,1703,16980,0,A,1400000US17031820202,3128,2150,30,53,41,0,359,495,0.6873401534526854,0.00959079283887468,0.01694373401534527,0.013107416879795396,0.0,0.11476982097186701,0.15824808184143221,9.6,10.2,8.9,54194.0,MCCOOK PUBLIC LIBRARY DISTRICT,48.0,138.0,1,37,3,24,4
389,IL,IL0249,30355,HOMER TOWNSHIP PUBLIC LIBRARY DISTRICT,14320 WEST 151ST STREET,HOMER GLEN,60491,6776,14320 WEST 151ST STREET,HOMER GLEN,60491,6776,WILL,7083017908,ME,LD,MO,Y,OTH,N,07/01/2018,06/30/2019,39059,39059,1,0,1,5.0,7.63,10.98,18.61,2282766,48909,0,87105,2418780,924772,299835,1224607,77896,27150,15860,120906,408151,1753664,0,0,0,0,0,31792,76352,44622,6617,7712,3571,841,20,13,33,93,4113,116151,29900,14741,182428,87091,20349,162079,18583,38932,201011,18998,21786,1049,564,78,20743,13152,613,39,92000,12253,92000,2019,3,1,0,0,0,-87.9677,41.61375,17,197,35835,690743,21,21,8810.02,4005,1703,16980,0,A,1400000US17197881002,5056,4652,17,8,54,0,58,267,0.9200949367088608,0.003362341772151899,0.0015822784810126582,0.010680379746835443,0.0,0.011471518987341773,0.052808544303797465,4.4,4.1,52.9,104236.0,HOMER TOWNSHIP PUBLIC LIBRARY DISTRICT,123.0,25.0,124,110,149,103,157
390,IL,IL0251,30357,HOMEWOOD PUBLIC LIBRARY DISTRICT,17917 DIXIE HIGHWAY,HOMEWOOD,60430,1703,17917 DIXIE HIGHWAY,HOMEWOOD,60430,1703,COOK,7087980121,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,19464,19464,1,0,0,5.9,5.9,20.13,26.03,2173647,10419,0,124958,2309024,1107354,334375,1441729,89929,62065,24533,176527,507094,2125350,0,0,0,0,0,49944,68731,395657,6988,79545,10780,2000,7,13,20,144,3476,204898,47641,7029,283279,73529,21738,261541,270369,292107,553648,14592,28787,803,265,147,10451,6440,1543,42,19229,14574,-1,2019,3,1,0,0,0,-87.6653,41.56409,17,31,35879,5150233,21,21,8284.01,2019,1702,16980,0,A,1400000US17031828401,3598,2115,1066,3,37,0,109,268,0.5878265703168427,0.2962757087270706,0.0008337965536409116,0.01028349082823791,0.0,0.03029460811561979,0.0744858254585881,7.2,5.8,11.7,71336.0,HOMEWOOD PUBLIC LIBRARY DISTRICT,74.0,91.0,85,120,116,96,106
391,IL,IL0254,30365,ILLIOPOLIS/NIANTIC PUBLIC LIBRARY DISTRICT,401 SIXTH AND MARY STREET,ILLIOPOLIS,62539,M,SIXTH AND MARY STREETS,ILLIOPOLIS,62539,M,SANGAMON,2174865561,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,2233,2233,1,0,0,0.0,0.75,1.13,1.88,71585,6271,0,105000,182856,-9,-9,-9,6995,300,2000,9295,-9,90537,0,0,0,0,0,0,17832,36773,186,40,1253,0,0,13,13,26,1664,2400,55,947,10619,3119,542,10077,0,542,10619,3458,3458,22,15,7,221,200,21,5,2800,900,-1,2019,3,2,0,0,0,-89.2406,39.85336,17,167,37127,194672,42,42,40.0,1019,1718,44100,0,A,1400000US17167000400,2640,1950,432,5,13,0,27,213,0.7386363636363636,0.16363636363636364,0.001893939393939394,0.004924242424242424,0.0,0.010227272727272727,0.08068181818181819,8.1,8.3,7.9,47560.0,ILLIOPOLIS NIANTIC PUBLIC LIBRARY DISTRICT,61.0,150.0,7,8,6,18,35
392,IL,IL0700,41481,TRI-CITY PUBLIC LIBRARY DISTRICT,600 SOUTH MAIN STREET,BUFFALO,62515,7010,600 SOUTH MAIN STREET,BUFFALO,62515,7010,SANGAMON,2173648181,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,3652,3652,1,0,0,0.0,0.8,0.93,1.73,176823,4565,0,3625,185013,-9,-9,-9,14938,1250,2500,18688,-9,165156,0,0,0,0,0,8241,17502,65052,377,28279,1197,90,0,13,13,20,1872,6458,389,550,11052,3238,2745,8307,0,2745,11052,6041,3142,112,12,1,1019,290,10,5,597,2915,2597,2019,3,2,0,0,0,-89.4059,39.84759,17,167,09434,194672,42,42,40.0,4001,1718,44100,0,A,1400000US17167000400,2640,1950,432,5,13,0,27,213,0.7386363636363636,0.16363636363636364,0.001893939393939394,0.004924242424242424,0.0,0.010227272727272727,0.08068181818181819,8.1,8.3,7.9,47560.0,TRI CITY PUBLIC LIBRARY DISTRICT,62.0,151.0,24,9,15,17,9
393,IL,IL0255,30367,INDIAN TRAILS PUBLIC LIBRARY DISTRICT,355 SOUTH SCHOENBECK ROAD,WHEELING,60090,4467,355 SCHOENBECK ROAD,WHEELING,60090,4467,COOK,8474594100,ME,LD,MO,Y,OTH,N,07/01/2018,06/30/2019,67010,67010,1,1,0,20.3,20.3,46.22,66.52,7002609,154567,0,234656,7391832,3309831,822307,4132138,362537,343552,147823,853912,1848417,6834467,0,0,0,0,0,160042,147468,38745,16710,33491,32170,7870,45,13,58,3424,5721,419546,80806,25894,818945,328340,103291,715654,150136,253427,969081,2762,6365,1777,601,143,40985,21551,3604,131,69143,153670,1469594,2019,3,1,0,0,0,-87.9464,42.13281,17,31,81087,5150233,21,21,8025.04,1005,1710,16980,0,A,1400000US17031802504,6442,3142,63,143,594,0,1565,935,0.4877367277243092,0.009779571561626824,0.0221980751319466,0.09220738900962434,0.0,0.2429369760943806,0.14514126047811238,6.7,4.3,0.0,83463.0,INDIAN TRAILS PUBLIC LIBRARY DISTRICT,86.0,60.0,152,155,153,141,154
394,IL,IL0256,30369,ITASCA COMMUNITY LIBRARY,500 WEST IRVING PARK ROAD,ITASCA,60143,2018,500 WEST IRVING PARK ROAD,ITASCA,60143,2018,DUPAGE,6307731699,ME,CI,SO,Y,CI1,N,05/01/2018,04/30/2019,8649,8649,1,0,0,7.28,10.05,3.98,14.03,1478745,36461,575,154991,1670772,692227,244950,937177,65769,16979,18976,101724,474483,1513384,310515,10811,575,0,321901,177842,59415,324321,4900,309144,5377,15040,8,13,21,142,3350,80127,7662,3127,87013,38831,8412,78601,1668,10080,88681,16902,8984,653,261,86,11546,6471,2083,20,7574,49901,84839,2019,3,1,0,0,0,-88.0199,41.97139,17,43,37907,922921,21,21,8402.01,3010,1708,16980,0,A,1400000US17043840201,6348,4814,84,26,712,0,240,472,0.758349086326402,0.013232514177693762,0.004095778197857593,0.11216131064902331,0.0,0.03780718336483932,0.074354127284184,3.4,3.6,12.3,107133.0,ITASCA COMMUNITY LIBRARY,143.0,20.0,93,90,93,84,63
395,IL,IL0258,30371,JERSEYVILLE PUBLIC LIBRARY,105 NORTH LIBERTY STREET,JERSEYVILLE,62052,1512,105 NORTH LIBERTY STREET,JERSEYVILLE,62052,1512,JERSEY,6184989514,ME,CI,SO,Y,CI1,N,05/01/2018,04/30/2019,8465,8465,1,0,0,0.0,4.35,3.7,8.05,534987,20111,0,73307,628405,237965,95418,333383,29590,13089,16521,59200,133090,525673,0,0,0,0,0,12500,46229,37445,2475,37729,6777,36,14,13,27,84,3458,77409,6039,2940,83383,22290,4894,78489,2998,7892,86381,25275,22524,168,105,25,4831,3419,304,20,7950,2871,-1,2019,3,2,0,0,0,-90.3305,39.11832,17,83,38414,21773,32,32,104.01,1012,1713,41180,0,A,1400000US17083010401,6098,5760,6,6,25,0,26,275,0.9445719908166612,0.0009839291571006887,0.0009839291571006887,0.0040997048212528696,0.0,0.004263693014102984,0.04509675303378157,9.7,9.9,40.0,62375.0,JERSEYVILLE PUBLIC LIBRARY,46.0,115.0,51,52,109,65,64
